,device,machine,device_name,n,time
0,cpu,HP Elitebook 830 G8,i7-1165G7,10,0.00019025802612304688
1,cpu,HP Elitebook 830 G8,i7-1165G7,10,1.2159347534179688e-05
2,cpu,HP Elitebook 830 G8,i7-1165G7,10,9.298324584960938e-06
3,cpu,HP Elitebook 830 G8,i7-1165G7,10,7.867813110351562e-06
4,cpu,HP Elitebook 830 G8,i7-1165G7,10,9.298324584960938e-06
5,cpu,HP Elitebook 830 G8,i7-1165G7,10,8.58306884765625e-06
6,cpu,HP Elitebook 830 G8,i7-1165G7,10,8.106231689453125e-06
7,cpu,HP Elitebook 830 G8,i7-1165G7,10,7.867813110351562e-06
8,cpu,HP Elitebook 830 G8,i7-1165G7,10,8.58306884765625e-06
9,cpu,HP Elitebook 830 G8,i7-1165G7,10,9.775161743164062e-06
10,cpu,HP Elitebook 830 G8,i7-1165G7,50,4.029273986816406e-05
11,cpu,HP Elitebook 830 G8,i7-1165G7,50,3.0517578125e-05
12,cpu,HP Elitebook 830 G8,i7-1165G7,50,2.9802322387695312e-05
13,cpu,HP Elitebook 830 G8,i7-1165G7,50,3.0517578125e-05
14,cpu,HP Elitebook 830 G8,i7-1165G7,50,3.886222839355469e-05
15,cpu,HP Elitebook 830 G8,i7-1165G7,50,3.170967102050781e-05
16,cpu,HP Elitebook 830 G8,i7-1165G7,50,3.0517578125e-05
17,cpu,HP Elitebook 830 G8,i7-1165G7,50,3.0040740966796875e-05
18,cpu,HP Elitebook 830 G8,i7-1165G7,50,2.9325485229492188e-05
19,cpu,HP Elitebook 830 G8,i7-1165G7,50,3.0040740966796875e-05
20,cpu,HP Elitebook 830 G8,i7-1165G7,100,0.00020766258239746094
21,cpu,HP Elitebook 830 G8,i7-1165G7,100,0.0001418590545654297
22,cpu,HP Elitebook 830 G8,i7-1165G7,100,0.0001285076141357422
23,cpu,HP Elitebook 830 G8,i7-1165G7,100,0.0001251697540283203
24,cpu,HP Elitebook 830 G8,i7-1165G7,100,0.0001251697540283203
25,cpu,HP Elitebook 830 G8,i7-1165G7,100,0.000125885009765625
26,cpu,HP Elitebook 830 G8,i7-1165G7,100,0.0001239776611328125
27,cpu,HP Elitebook 830 G8,i7-1165G7,100,0.00012445449829101562
28,cpu,HP Elitebook 830 G8,i7-1165G7,100,0.0001354217529296875
29,cpu,HP Elitebook 830 G8,i7-1165G7,100,0.00012826919555664062
30,cpu,HP Elitebook 830 G8,i7-1165G7,250,0.009698152542114258
31,cpu,HP Elitebook 830 G8,i7-1165G7,250,0.0008628368377685547
32,cpu,HP Elitebook 830 G8,i7-1165G7,250,0.0008113384246826172
33,cpu,HP Elitebook 830 G8,i7-1165G7,250,0.0008287429809570312
34,cpu,HP Elitebook 830 G8,i7-1165G7,250,0.0008187294006347656
35,cpu,HP Elitebook 830 G8,i7-1165G7,250,0.0008237361907958984
36,cpu,HP Elitebook 830 G8,i7-1165G7,250,0.0008144378662109375
37,cpu,HP Elitebook 830 G8,i7-1165G7,250,0.0008184909820556641
38,cpu,HP Elitebook 830 G8,i7-1165G7,250,0.0008220672607421875
39,cpu,HP Elitebook 830 G8,i7-1165G7,250,0.0008172988891601562
40,cpu,HP Elitebook 830 G8,i7-1165G7,500,0.005326271057128906
41,cpu,HP Elitebook 830 G8,i7-1165G7,500,0.003986835479736328
42,cpu,HP Elitebook 830 G8,i7-1165G7,500,0.0036809444427490234
43,cpu,HP Elitebook 830 G8,i7-1165G7,500,0.0036063194274902344
44,cpu,HP Elitebook 830 G8,i7-1165G7,500,0.0036902427673339844
45,cpu,HP Elitebook 830 G8,i7-1165G7,500,0.003637075424194336
46,cpu,HP Elitebook 830 G8,i7-1165G7,500,0.0036106109619140625
47,cpu,HP Elitebook 830 G8,i7-1165G7,500,0.0036783218383789062
48,cpu,HP Elitebook 830 G8,i7-1165G7,500,0.0036482810974121094
49,cpu,HP Elitebook 830 G8,i7-1165G7,500,0.0036177635192871094
50,cpu,HP Elitebook 830 G8,i7-1165G7,1000,0.02079629898071289
51,cpu,HP Elitebook 830 G8,i7-1165G7,1000,0.019881248474121094
52,cpu,HP Elitebook 830 G8,i7-1165G7,1000,0.01860356330871582
53,cpu,HP Elitebook 830 G8,i7-1165G7,1000,0.018569469451904297
54,cpu,HP Elitebook 830 G8,i7-1165G7,1000,0.018860578536987305
55,cpu,HP Elitebook 830 G8,i7-1165G7,1000,0.018734216690063477
56,cpu,HP Elitebook 830 G8,i7-1165G7,1000,0.01877284049987793
57,cpu,HP Elitebook 830 G8,i7-1165G7,1000,0.018922090530395508
58,cpu,HP Elitebook 830 G8,i7-1165G7,1000,0.019033432006835938
59,cpu,HP Elitebook 830 G8,i7-1165G7,1000,0.018926382064819336
60,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.05410623550415039
61,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.05369400978088379
62,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.05245828628540039
63,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.05223369598388672
64,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.052542924880981445
65,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.05257987976074219
66,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.05251741409301758
67,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.052190542221069336
68,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.038336992263793945
69,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.04065275192260742
70,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.08800530433654785
71,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.11423826217651367
72,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.10106611251831055
73,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.07242345809936523
74,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.0733644962310791
75,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.07249760627746582
76,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.07272744178771973
77,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.07327938079833984
78,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.07328057289123535
79,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.0736246109008789
80,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.2200946807861328
81,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.2229304313659668
82,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.23707795143127441
83,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.29775071144104004
84,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.32060885429382324
85,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.3350794315338135
86,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.32379984855651855
87,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.331789493560791
88,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.3262488842010498
89,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.324221134185791
90,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.7144532203674316
91,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.685373067855835
92,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.6833412647247314
93,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.8446898460388184
94,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.6716349124908447
95,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.677001953125
96,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.6762528419494629
97,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.677833080291748
98,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.6728160381317139
99,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.6777133941650391
